100640425
tensor(0.5036, device='cuda:0')
tensor(0.3550, device='cuda:0')
tensor(0.3945, device='cuda:0')
tensor(0.4473, device='cuda:0')
tensor(0.2409, device='cuda:0')
tensor(0.3967, device='cuda:0')
tensor(0.3530, device='cuda:0')
tensor(0.5584, device='cuda:0')
tensor(0.4465, device='cuda:0')
tensor(0.3810, device='cuda:0')
tensor(0.3373, device='cuda:0')
tensor(0.4426, device='cuda:0')
tensor(0.2858, device='cuda:0')
tensor(0.6998, device='cuda:0')
tensor(0.2876, device='cuda:0')
tensor(0.4552, device='cuda:0')
tensor(0.9439, device='cuda:0')
tensor(1.9961, device='cuda:0')
tensor(0.3692, device='cuda:0')
tensor(0.5051, device='cuda:0')
tensor(0.5106, device='cuda:0')
tensor(0.4218, device='cuda:0')
tensor(0.2797, device='cuda:0')
tensor(0.4991, device='cuda:0')
tensor(0.4011, device='cuda:0')
tensor(0.3700, device='cuda:0')
tensor(0.6183, device='cuda:0')
tensor(0.4746, device='cuda:0')
tensor(0.2847, device='cuda:0')
tensor(0.2989, device='cuda:0')
tensor(0.2816, device='cuda:0')
tensor(0.7023, device='cuda:0')
tensor(0.4881, device='cuda:0')
tensor(0.3218, device='cuda:0')
tensor(0.6883, device='cuda:0')
tensor(0.4513, device='cuda:0')
tensor(0.5045, device='cuda:0')
tensor(0.5328, device='cuda:0')
tensor(0.4262, device='cuda:0')
tensor(0.5570, device='cuda:0')
tensor(1.3923, device='cuda:0')
tensor(0.4052, device='cuda:0')
tensor(0.6341, device='cuda:0')
tensor(0.4366, device='cuda:0')
tensor(0.4767, device='cuda:0')
tensor(0.5542, device='cuda:0')
tensor(0.2734, device='cuda:0')
tensor(0.5311, device='cuda:0')
tensor(0.2257, device='cuda:0')
tensor(0.5140, device='cuda:0')
tensor(0.3591, device='cuda:0')
tensor(1.7651, device='cuda:0')
tensor(0.3822, device='cuda:0')
tensor(0.4234, device='cuda:0')
tensor(0.2978, device='cuda:0')
tensor(0.3924, device='cuda:0')
tensor(0.2423, device='cuda:0')
tensor(0.3583, device='cuda:0')
tensor(0.6939, device='cuda:0')
tensor(0.4968, device='cuda:0')
tensor(0.4606, device='cuda:0')
tensor(0.3823, device='cuda:0')
tensor(0.2894, device='cuda:0')
tensor(0.3406, device='cuda:0')
tensor(0.3627, device='cuda:0')
tensor(0.2553, device='cuda:0')
tensor(0.3483, device='cuda:0')
tensor(0.4748, device='cuda:0')
tensor(0.5158, device='cuda:0')
tensor(0.3148, device='cuda:0')
tensor(0.4021, device='cuda:0')
tensor(0.3724, device='cuda:0')
tensor(0.2269, device='cuda:0')
tensor(0.4515, device='cuda:0')
tensor(0.2275, device='cuda:0')
tensor(0.7903, device='cuda:0')
tensor(0.2441, device='cuda:0')
tensor(0.2700, device='cuda:0')
tensor(1.0613, device='cuda:0')
tensor(0.4291, device='cuda:0')
tensor(0.5857, device='cuda:0')
tensor(0.5911, device='cuda:0')
tensor(0.4383, device='cuda:0')
tensor(0.4055, device='cuda:0')
tensor(0.7055, device='cuda:0')
tensor(1.8446, device='cuda:0')
tensor(0.3950, device='cuda:0')
tensor(0.3610, device='cuda:0')
tensor(0.4363, device='cuda:0')
tensor(0.3843, device='cuda:0')
tensor(0.3317, device='cuda:0')
tensor(0.5915, device='cuda:0')
tensor(0.5347, device='cuda:0')
tensor(0.4390, device='cuda:0')
tensor(0.4615, device='cuda:0')
tensor(0.3874, device='cuda:0')
tensor(0.3226, device='cuda:0')
tensor(0.3061, device='cuda:0')
tensor(0.4264, device='cuda:0')
tensor(0.5569, device='cuda:0')
tensor(0.8438, device='cuda:0')
tensor(0.5224, device='cuda:0')
tensor(0.2642, device='cuda:0')
tensor(1.0096, device='cuda:0')
tensor(0.5137, device='cuda:0')
